Country,Type,Disaster_Count,Deaths
Lebanon,Wildfire,2,1
Lesotho,Drought,9,0
Lesotho,Epidemic,3,56
Lesotho,Flood,5,66
Lesotho,Storm,7,1
Liberia,Drought,1,0
Liberia,Epidemic,12,5434
Liberia,Extreme temperature,1,0
Liberia,Flood,6,14
Liberia,Insect infestation,1,0
Liberia,Mass movement (dry),1,46
Liberia,Storm,2,0
Libya,Earthquake,1,300
Libya,Flood,3,20
Libya,Insect infestation,1,0
Lithuania,Drought,3,0
Lithuania,Extreme temperature,6,92
Lithuania,Flood,2,4
Lithuania,Storm,3,8
Luxembourg,Extreme temperature,1,170
Luxembourg,Flood,2,0
Luxembourg,Storm,9,0
Macao,Epidemic,1,0
Macao,Storm,6,10
Macedonia,Drought,1,0
Macedonia,Earthquake,1,0
Macedonia,Epidemic,1,0
Macedonia,Extreme temperature,6,34
Macedonia,Flood,11,32
Macedonia,Storm,1,1
Macedonia,Wildfire,2,1
Madagascar,Drought,10,200
Madagascar,Epidemic,8,1992
Madagascar,Flood,9,127
Madagascar,Insect infestation,2,0
Madagascar,Storm,60,2835
Malawi,Drought,8,500
Malawi,Earthquake,3,13
Malawi,Epidemic,15,1687
Malawi,Flood,42,948
Malawi,Landslide,1,8
Malawi,Storm,3,16
Malaysia,Drought,2,0
Malaysia,Earthquake,2,104
Malaysia,Epidemic,13,540
Malaysia,Flood,58,356
Malaysia,Landslide,4,96
Malaysia,Mass movement (dry),1,72
Malaysia,Storm,8,296
Malaysia,Wildfire,4,0
Maldives,Earthquake,1,102
Maldives,Epidemic,2,223
Maldives,Flood,3,0
Maldives,Storm,1,0
Mali,Drought,12,0
Mali,Epidemic,19,3925
Mali,Flood,26,157
Mali,Insect infestation,5,0
Marshall Islands,Drought,2,0
Marshall Islands,Epidemic,1,6
Marshall Islands,Flood,2,0
Marshall Islands,Storm,2,0
Martinique,Earthquake,1,1
Martinique,Epidemic,1,13
Martinique,Storm,15,82
Martinique,Volcanic activity,1,30000
Mauritania,Drought,15,0
Mauritania,Epidemic,6,185
Mauritania,Flood,19,65
Mauritania,Insect infestation,4,0
Mauritania,Storm,3,23
Mauritius,Drought,1,0
Mauritius,Epidemic,2,0
Mauritius,Flood,1,11
Mauritius,Storm,19,70
Mexico,Drought,7,0
Mexico,Earthquake,42,12180
Mexico,Epidemic,3,68
Mexico,Extreme temperature,17,1188
Mexico,Flood,74,4388
Mexico,Landslide,12,332
Mexico,Storm,114,5574
Mexico,Volcanic activity,10,1120
Mexico,Wildfire,5,110
Micronesia (Federated States of),Drought,2,0
Micronesia (Federated States of),Epidemic,1,19
Micronesia (Federated States of),Flood,1,0
Micronesia (Federated States of),Storm,7,58
Moldova,Drought,3,2
Moldova,Epidemic,1,0
Moldova,Extreme temperature,3,23
Moldova,Flood,7,61
Moldova,Storm,2,3
Mongolia,Drought,1,0
Mongolia,Earthquake,1,1200
Mongolia,Epidemic,3,8
Mongolia,Extreme temperature,5,5
Mongolia,Flood,11,166
Mongolia,Landslide,1,17
Mongolia,Storm,12,143
Mongolia,Wildfire,3,25
Montenegro,Extreme temperature,1,1
Montenegro,Flood,4,0
Montenegro,Wildfire,1,0
Montserrat,Storm,4,11
Montserrat,Volcanic activity,4,32
Morocco,Drought,5,0
Morocco,Earthquake,4,12739
Morocco,Epidemic,1,200
Morocco,Extreme temperature,6,0
Morocco,Flood,34,1716
Morocco,Insect infestation,4,0
Morocco,Landslide,2,16
Morocco,Mass movement (dry),1,31
Morocco,Storm,4,64
Mozambique,Drought,14,100068
Mozambique,Earthquake,1,4
Mozambique,Epidemic,29,3081
Mozambique,Flood,41,2392
Mozambique,Insect infestation,1,0
Mozambique,Landslide,2,104
Mozambique,Storm,27,1362
Mozambique,Wildfire,1,49
Myanmar,Earthquake,10,788
Myanmar,Epidemic,4,74
Myanmar,Flood,35,902
Myanmar,Landslide,10,405
Myanmar,Mass movement (dry),1,17
Myanmar,Storm,21,144698
Myanmar,Wildfire,2,8
Namibia,Drought,9,0
Namibia,Epidemic,7,291
