Country,Type,Deaths
Lebanon,Mass movement (dry),20
Lebanon,Storm,48
Lebanon,Wildfire,1
Lebanon,Total,645
Lesotho,Drought,0
Lesotho,Epidemic,56
Lesotho,Flood,66
Lesotho,Storm,1
Lesotho,Total,123
Liberia,Drought,0
Liberia,Epidemic,5434
Liberia,Extreme temperature,0
Liberia,Flood,14
Liberia,Insect infestation,0
Liberia,Mass movement (dry),46
Liberia,Storm,0
Liberia,Total,5494
Libya,Earthquake,300
Libya,Flood,20
Libya,Insect infestation,0
Libya,Total,320
Lithuania,Drought,0
Lithuania,Extreme temperature,92
Lithuania,Flood,4
Lithuania,Storm,8
Lithuania,Total,104
Luxembourg,Extreme temperature,170
Luxembourg,Flood,0
Luxembourg,Storm,0
Luxembourg,Total,170
Macao,Epidemic,0
Macao,Storm,10
Macao Total,,10
Macedonia,Drought,0
Macedonia,Earthquake,0
Macedonia,Epidemic,0
Macedonia,Extreme temperature,34
Macedonia,Flood,32
Macedonia,Storm,1
Macedonia,Wildfire,1
Macedonia,Total,68
Madagascar,Drought,200
Madagascar,Epidemic,1992
Madagascar,Flood,127
Madagascar,Insect infestation,0
Madagascar,Storm,2835
Madagascar,Total,5154
Malawi,Drought,500
Malawi,Earthquake,13
Malawi,Epidemic,1687
Malawi,Flood,948
Malawi,Landslide,8
Malawi,Storm,16
Malawi,Total,3172
Malaysia,Drought,0
Malaysia,Earthquake,104
Malaysia,Epidemic,540
Malaysia,Flood,356
Malaysia,Landslide,96
Malaysia,Mass movement (dry),72
Malaysia,Storm,296
Malaysia,Wildfire,0
Malaysia,Total,1464
Maldives,Earthquake,102
Maldives,Epidemic,223
Maldives,Flood,0
Maldives,Storm,0
Maldives,Total,325
Mali,Drought,0
Mali,Epidemic,3925
Mali,Flood,157
Mali,Insect infestation,0
Mali Total,,4082
Marshall Islands,Drought,0
Marshall Islands,Epidemic,6
Marshall Islands,Flood,0
Marshall Islands,Storm,0
Marshall Islands,Total,6
Martinique,Earthquake,1
Martinique,Epidemic,13
Martinique,Storm,82
Martinique,Volcanic activity,30000
Martinique,Total,30096
Mauritania,Drought,0
Mauritania,Epidemic,185
Mauritania,Flood,65
Mauritania,Insect infestation,0
Mauritania,Storm,23
Mauritania,Total,273
Mauritius,Drought,0
Mauritius,Epidemic,0
Mauritius,Flood,11
Mauritius,Storm,70
Mauritius,Total,81
Mexico,Drought,0
Mexico,Earthquake,12180
Mexico,Epidemic,68
Mexico,Extreme temperature,1188
Mexico,Flood,4388
Mexico,Landslide,332
Mexico,Storm,5574
Mexico,Volcanic activity,1120
Mexico,Wildfire,110
Mexico,Total,24960
Micronesia (Federated States of),Drought,0
Micronesia (Federated States of),Epidemic,19
Micronesia (Federated States of),Flood,0
Micronesia (Federated States of),Storm,58
Micronesia (Federated States of),Total,77
Moldova,Drought,2
Moldova,Epidemic,0
Moldova,Extreme temperature,23
Moldova,Flood,61
Moldova,Storm,3
Moldova,Total,89
Mongolia,Drought,0
Mongolia,Earthquake,1200
Mongolia,Epidemic,8
Mongolia,Extreme temperature,5
Mongolia,Flood,166
Mongolia,Landslide,17
Mongolia,Storm,143
Mongolia,Wildfire,25
Mongolia,Total,1564
Montenegro,Extreme temperature,1
Montenegro,Flood,0
Montenegro,Wildfire,0
Montenegro,Total,1
Montserrat,Storm,11
Montserrat,Volcanic activity,32
Montserrat,Total,43
Morocco,Drought,0
Morocco,Earthquake,12739
Morocco,Epidemic,200
Morocco,Extreme temperature,0
Morocco,Flood,1716
Morocco,Insect infestation,0
Morocco,Landslide,16
Morocco,Mass movement (dry),31
Morocco,Storm,64
Morocco,Total,14766
Mozambique,Drought,100068
Mozambique,Earthquake,4
Mozambique,Epidemic,3081
Mozambique,Flood,2392
Mozambique,Insect infestation,0
Mozambique,Landslide,104
Mozambique,Storm,1362
Mozambique,Wildfire,49
Mozambique,Total,107060
Myanmar,Earthquake,788
Myanmar,Epidemic,74
Myanmar,Flood,902
Myanmar,Landslide,405
Myanmar,Mass movement (dry),17
Myanmar,Storm,144698
Myanmar,Wildfire,8
Myanmar,Total,146892
Namibia,Drought,0
Namibia,Epidemic,291
Namibia,Flood,264
Namibia,Total,555
Nepal,Drought,0
Nepal,Earthquake,9865
Nepal,Epidemic,4568
Nepal,Extreme temperature,267
Nepal,Flood,7700
Nepal,Landslide,1894
Nepal,Mass movement (dry),150
Nepal,Storm,208
Nepal,Wildfire,99
Nepal,Total,24751
Netherlands,Earthquake,0
Netherlands,Epidemic,13
Netherlands,Extreme temperature,2766
Netherlands,Flood,2001
Netherlands,Storm,39
Netherlands,Total,4819
Netherlands (the),Storm,13
Netherlands (the),Total,13
New Caledonia,Epidemic,0
New Caledonia,Storm,20
New Caledonia,Total,20
New Zealand,Drought,0
New Zealand,Earthquake,461
New Zealand,Epidemic,6700
New Zealand,Extreme temperature,0
New Zealand,Flood,32
New Zealand,Landslide,0
New Zealand,Storm,65
New Zealand,Volcanic activity,171
New Zealand,Wildfire,0
New Zealand,Total,7429
Nicaragua,Drought,0
Nicaragua,Earthquake,12688
Nicaragua,Epidemic,122
Nicaragua,Flood,515
Nicaragua,Landslide,29
Nicaragua,Storm,3955
Nicaragua,Volcanic activity,1
Nicaragua,Wildfire,0
Nicaragua,Total,17310
Niger,Animal accident,12
Niger,Drought,85000
Niger,Epidemic,110066
Niger,Flood,639
Niger,Insect infestation,0
Niger,Storm,4
Niger,Total,195721
Nigeria,Drought,0
Nigeria,Epidemic,26508
Nigeria,Extreme temperature,78
Nigeria,Flood,2027
Nigeria,Insect infestation,0
Nigeria,Landslide,32
Nigeria,Storm,254
Nigeria,Total,28899
Niue,Epidemic,1
Niue,Storm,1
Niue,Total,2
Northern Mariana Islands (the),Storm,5
Northern Mariana Islands (the),Volcanic activity,0
Northern Mariana Islands (the),Total,5
Norway,Flood,1
Norway,Landslide,84
Norway,Storm,4
Norway,Total,89
Oman,Flood,14
Oman,Storm,282
Oman,Total,296
Pakistan,Drought,220
Pakistan,Earthquake,144116
Pakistan,Epidemic,403
Pakistan,Extreme temperature,2954
Pakistan,Flood,18105
Pakistan,Insect infestation,0
Pakistan,Landslide,805
Pakistan,Mass movement (dry),63
Pakistan,Storm,12141
Pakistan,Total,178807
Palau,Epidemic,0
Palau,Storm,0
Palau,Total,0
"Palestine, State of",Epidemic,0
"Palestine, State of",Extreme temperature,3
"Palestine, State of",Flood,5
"Palestine, State of",Storm,5
"Palestine, State of",Total,13
Panama,Drought,0
Panama,Earthquake,32
Panama,Epidemic,101
Panama,Flood,218
Panama,Storm,143
Panama,Wildfire,0
Panama,Total,494
Papua New Guinea,Drought,84
Papua New Guinea,Earthquake,5450
Papua New Guinea,Epidemic,448
Papua New Guinea,Flood,86
Papua New Guinea,Landslide,527
Papua New Guinea,Mass movement (dry),86
Papua New Guinea,Storm,219
Papua New Guinea,Volcanic activity,3515
Papua New Guinea,Wildfire,0
Papua New Guinea,Total,10415
Paraguay,Drought,16
Paraguay,Epidemic,97
Paraguay,Extreme temperature,20
Paraguay,Flood,199
Paraguay,Storm,40
Paraguay,Wildfire,8
Paraguay,Total,380
Peru,Drought,0
Peru,Earthquake,70788
Peru,Epidemic,10739
Peru,Extreme temperature,2020
Peru,Flood,2243
Peru,Insect infestation,0
Peru,Landslide,8564
Peru,Mass movement (dry),2000
Peru,Storm,653
Peru,Volcanic activity,0
Peru,Wildfire,0
Peru,Total,97007
Philippines,Drought,8
Philippines,Earthquake,9927
Philippines,Epidemic,2627
Philippines,Flood,3670
Philippines,Insect infestation,0
Philippines,Landslide,2451
Philippines,Mass movement (dry),361
Philippines,Storm,49805
Philippines,Volcanic activity,2997
Philippines,Wildfire,2
Philippines,Total,71848
Poland,Drought,0
Poland,Earthquake,0
Poland,Extreme temperature,2085
Poland,Flood,115
Poland,Storm,143
Poland,Wildfire,35
Poland,Total,2378
Portugal,Drought,0
Portugal,Earthquake,32
Portugal,Extreme temperature,3199
Portugal,Flood,597
Portugal,Storm,53
Portugal,Wildfire,206
Portugal,Total,4087
Puerto Rico,Drought,0
Puerto Rico,Earthquake,120
Puerto Rico,Flood,583
Puerto Rico,Landslide,126
Puerto Rico,Storm,645
Puerto Rico,Total,1474
Qatar,Flood,0
Qatar,Total,0
Réunion,Epidemic,0
Réunion,Landslide,10
Réunion,Storm,229
Réunion,Volcanic activity,0
Réunion,Total,239
Romania,Drought,0
Romania,Earthquake,2630
Romania,Epidemic,0
Romania,Extreme temperature,531
Romania,Flood,1718
Romania,Landslide,0
Romania,Storm,59
Romania,Total,4938
Russia,Drought,0
Russia,Earthquake,2019
Russia,Epidemic,33
Russia,Extreme temperature,57914
Russia,Flood,825
Russia,Impact,0
Russia,Insect infestation,0
Russia,Landslide,474
Russia,Storm,228
Russia,Wildfire,169
Russia,Total,61662
Rwanda,Drought,237
Rwanda,Earthquake,81
Rwanda,Epidemic,322
Rwanda,Flood,444
Rwanda,Landslide,117
Rwanda,Storm,3
Rwanda,Total,1204
Saint Barthélemy,Storm,4
Saint Barthélemy,Total,4
"Saint Helena, Ascension and Tristan da Cunha",Storm,0
"Saint Helena, Ascension and Tristan da Cunha Total",,0
Saint Kitts and Nevis,Flood,0
Saint Kitts and Nevis,Storm,6
Saint Kitts and Nevis,Total,6
Saint Lucia,Drought,0
